"DATE","HOUR","ESP","NIGHT_ID","SITE","DISTANCE","TEMPERATURE","VENT","LUNAR_PHASE","TOTAL_PULSES","TOTAL_NB"
2024-09-27,19,"HYPSAV",1,"LA FARE LES OLIVIERS",150,20,33,"Décroissante",7,1
2024-09-27,19,"PIPKUH",1,"LA FARE LES OLIVIERS",150,20,33,"Décroissante",139,8
2024-09-27,19,"PIPNAT",1,"LA FARE LES OLIVIERS",150,20,33,"Décroissante",103,3
2024-09-27,19,"PIPNAT",1,"LA FARE LES OLIVIERS",300,20,33,"Décroissante",32,1
2024-09-27,20,"PIPKUH",1,"LA FARE LES OLIVIERS",150,19,22,"Décroissante",2731,63
2024-09-27,20,"PIPKUH",1,"LA FARE LES OLIVIERS",300,19,22,"Décroissante",59,3
2024-09-27,20,"PIPKUH",1,"LA FARE LES OLIVIERS",470,19,22,"Décroissante",70,3
2024-09-27,20,"PIPNAT",1,"LA FARE LES OLIVIERS",150,19,22,"Décroissante",1168,26
2024-09-27,20,"PIPPIP",1,"LA FARE LES OLIVIERS",470,19,22,"Décroissante",8,1
2024-09-27,20,"PIPPYG",1,"LA FARE LES OLIVIERS",150,19,22,"Décroissante",34,3
2024-09-27,20,"PIPPYG",1,"LA FARE LES OLIVIERS",300,19,22,"Décroissante",4,1
2024-09-27,20,"TADTEN",1,"LA FARE LES OLIVIERS",150,19,22,"Décroissante",2,1
2024-09-27,21,"NYCLEI",1,"LA FARE LES OLIVIERS",150,19,39,"Décroissante",21,2
2024-09-27,21,"NYCNOC",1,"LA FARE LES OLIVIERS",150,19,39,"Décroissante",2,1
2024-09-27,21,"PIPPYG",1,"LA FARE LES OLIVIERS",150,19,39,"Décroissante",31,3
2024-09-27,21,"PIPPYG",1,"LA FARE LES OLIVIERS",300,19,39,"Décroissante",7,1
2024-09-27,22,"MINSCH",1,"LA FARE LES OLIVIERS",150,18,39,"Décroissante",31,1
2024-09-27,22,"NYCLEI",1,"LA FARE LES OLIVIERS",300,18,39,"Décroissante",6,1
2024-09-27,22,"PIPNAT",1,"LA FARE LES OLIVIERS",150,18,39,"Décroissante",40,2
2024-09-27,22,"PIPPYG",1,"LA FARE LES OLIVIERS",150,18,39,"Décroissante",53,3
2024-09-27,22,"PIPPYG",1,"LA FARE LES OLIVIERS",470,18,39,"Décroissante",4,1
2024-09-27,22,"TADTEN",1,"LA FARE LES OLIVIERS",150,18,39,"Décroissante",3,1
2024-09-27,23,"MINSCH",1,"LA FARE LES OLIVIERS",300,17,35,"Décroissante",15,1
2024-09-27,23,"NYCLEI",1,"LA FARE LES OLIVIERS",300,17,35,"Décroissante",12,2
2024-09-27,23,"PIPNAT",1,"LA FARE LES OLIVIERS",470,17,35,"Décroissante",3,1
2024-09-27,23,"PIPPYG",1,"LA FARE LES OLIVIERS",150,17,35,"Décroissante",20,1
2024-09-27,23,"PIPPYG",1,"LA FARE LES OLIVIERS",300,17,35,"Décroissante",11,1
2024-09-27,23,"TADTEN",1,"LA FARE LES OLIVIERS",150,17,35,"Décroissante",6,1
2024-09-27,23,"TADTEN",1,"LA FARE LES OLIVIERS",300,17,35,"Décroissante",14,1
2024-09-28,0,"NYCLEI",1,"LA FARE LES OLIVIERS",470,17,37,"Décroissante",3,1
2024-09-28,0,"PIPNAT",1,"LA FARE LES OLIVIERS",150,17,37,"Décroissante",17,1
2024-09-28,0,"PIPPYG",1,"LA FARE LES OLIVIERS",150,17,37,"Décroissante",58,3
2024-09-28,0,"TADTEN",1,"LA FARE LES OLIVIERS",470,17,37,"Décroissante",11,1
